term,tfidf_sum,doc_freq,best_seed_match,max_similarity_to_seed
intelligence,30.070738968815977,918,Machine learning,0.26099617200198977
generative ai,29.24796038296816,357,Privacy,0.128504757999524
artificial,29.17190122279779,910,Machine learning,0.27386588463188166
artificial intelligence,28.08395462297287,896,Machine learning,0.25802610677668647
research,23.721377621119192,498,Machine learning,0.15705459853966966
education,22.300841250044158,265,AI literacy,0.20037274058630977
study,21.55494079130646,459,AI literacy,0.14536806932231816
paper,20.45277804348838,441,Machine learning,0.21074107214168494
design,19.489772650748304,201,Human-AI interaction,0.0935005209594699
students,19.072396279502424,174,AI literacy,0.12049860753772378
technology,18.80799581391923,351,Human-AI interaction,0.12365227836568525
genai,18.74237695664715,79,AI literacy,0.08820864735237201
gai,18.213564318850107,73,AI literacy,0.10155407569029881
based,18.02595289447132,395,Machine learning,0.23335381835419092
tools,17.878122995795632,229,Human-AI interaction,0.15496750658650651
