category,seed_term,total_occurrences,num_abstracts_with_term
Concepts of Generative AI in Education,Generative models,1106,846
Concepts of Generative AI in Education,Prompting,4,4
Concepts of Generative AI in Education,Machine learning,564,521
Concepts of Generative AI in Education,Multimodality,3,1
Concepts of Generative AI in Education,Fine-tuning,10,8
Concepts of Generative AI in Education,Training data,598,521
Concepts of Generative AI in Education,Algorithmic bias,72,68
Concepts of Generative AI in Education,Explainability,16,15
Concepts of Generative AI in Education,Transparency,59,52
Concepts of Generative AI in Education,Ethics,60,43
Concepts of Generative AI in Education,Privacy,155,99
Concepts of Generative AI in Education,Personalization,30,23
Concepts of Generative AI in Education,Human-AI interaction,96,93
Concepts of Generative AI in Education,AI literacy,857,816
Concepts of Generative AI in Education,Co-creation,11,6
