title,doi,type,original_file,duplicated_in
Generative AI and LLMs: Natural Language Processing and Generative Adversarial Networks,(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
"Toward Artificial General Intelligence: Deep Learning, Neural Networks, Generative AI",(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
"Toward Artificial General Intelligence: Deep Learning, Neural Networks, Generative AI",(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
Generative AI in Practice: 100+ Amazing Ways Generative Artificial Intelligence is Changing Business and Society,(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
Generative AI in Practice: 100+ Amazing Ways Generative Artificial Intelligence is Changing Business and Society,(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
Generative AI in Practice: 100+ Amazing Ways Generative Artificial Intelligence is Changing Business and Society,(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
Artificial Intelligence in Action: Real-World Applications and Innovations,(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
Artificial Intelligence in Action: Real-World Applications and Innovations,(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
Artificial Intelligence in Action: Real-World Applications and Innovations,(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
Generative AI in Practice: 100+ Amazing Ways Generative Artificial Intelligence is Changing Business and Society,(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
Generative AI in Practice: 100+ Amazing Ways Generative Artificial Intelligence is Changing Business and Society,(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
Generative AI in Practice: 100+ Amazing Ways Generative Artificial Intelligence is Changing Business and Society,(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
"Toward Artificial General Intelligence: Deep Learning, Neural Networks, Generative AI",(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
"Toward Artificial General Intelligence: Deep Learning, Neural Networks, Generative AI",(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
Artificial Intelligence in Action: Real-World Applications and Innovations,(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
Artificial Intelligence in Action: Real-World Applications and Innovations,(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
Artificial Intelligence in Action: Real-World Applications and Innovations,(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
Artificial Intelligence in Action: Real-World Applications and Innovations,(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
Artificial Intelligence in Action: Real-World Applications and Innovations,(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
Generative AI and LLMs: Natural Language Processing and Generative Adversarial Networks,(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
"Toward Artificial General Intelligence: Deep Learning, Neural Networks, Generative AI",(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
Artificial Intelligence in Action: Real-World Applications and Innovations,(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
Artificial Intelligence in Action: Real-World Applications and Innovations,(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
Artificial Intelligence in Action: Real-World Applications and Innovations,(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
Generative AI: Navigating the Course to the Artificial General Intelligence Future,(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
Generative AI and LLMs: Natural Language Processing and Generative Adversarial Networks,(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
Generative AI: Navigating the Course to the Artificial General Intelligence Future,(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
Artificial Intelligence in Action: Real-World Applications and Innovations,(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
"Toward Artificial General Intelligence: Deep Learning, Neural Networks, Generative AI",(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
"Toward Artificial General Intelligence: Deep Learning, Neural Networks, Generative AI",(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
"Toward Artificial General Intelligence: Deep Learning, Neural Networks, Generative AI",(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
"Toward Artificial General Intelligence: Deep Learning, Neural Networks, Generative AI",(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
Marketing with AI For Dummies,(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
"Toward Artificial General Intelligence: Deep Learning, Neural Networks, Generative AI",(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
"Generative AI in Neurodegenerative Disorders: Innovations, Views, and Obstacles",(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
Generative AI: Navigating the Course to the Artificial General Intelligence Future,(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
Artificial Intelligence in Action: Real-World Applications and Innovations,(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
Generative AI and LLMs: Natural Language Processing and Generative Adversarial Networks,(sin DOI),INBOOK,ieee_combined_20251019_155151.bib,ieee_combined_20251019_155151.bib
A Human-Centered Learning and Teaching Framework Using Generative Artificial Intelligence for Self-Regulated Learning Development Through Domain Knowledge Learning in K–12 Settings,10.1109/TLT.2024.3392830,article,ieee_combined_20251019_155151.bib,semantic_scholar_20251019_152304.bib
Analysis of Recommender System Using Generative Artificial Intelligence: A Systematic Literature Review,10.1109/ACCESS.2024.3416962,article,ieee_combined_20251019_155151.bib,semantic_scholar_20251019_152304.bib
Comparing the Ideation Quality of Humans With Generative Artificial Intelligence,10.1109/EMR.2024.3353338,article,ieee_combined_20251019_155151.bib,semantic_scholar_20251019_152304.bib
Framework for Adoption of Generative Artificial Intelligence (GenAI) in Education,10.1109/TE.2024.3432101,article,semantic_scholar_20251019_152304.bib,semantic_scholar_20251019_152304.bib
